Month,Year,MonthNumber,MonthName,Customers,NewCustomers,CancelledCustomers,NewspapersDelivered,NewspapersSold,UnsoldNewspapers,PricePerCopy,MonthlyRevenue
2022-02,2022,2,February,11057,178,179,11129,10718,411,6.0,64308.0
2022-03,2022,3,March,11228,167,174,11632,11203,429,6.0,67218.0
2022-04,2022,4,April,10948,189,120,11244,10831,413,6.0,64986.0
2022-05,2022,5,May,10662,174,155,10987,10621,366,6.0,63726.0
2022-06,2022,6,June,10663,200,147,11119,10725,394,6.0,64350.0
2022-07,2022,7,July,10524,184,125,10838,10471,367,6.0,62826.0
2022-08,2022,8,August,10850,189,148,11059,10725,334,6.0,64350.0
2022-09,2022,9,September,11271,135,117,11438,11030,408,6.0,66180.0
2022-10,2022,10,October,11604,191,170,11765,11377,388,6.0,68262.0
2022-11,2022,11,November,11957,174,116,12309,11898,411,6.0,71388.0
2022-12,2022,12,December,11540,166,116,11612,11156,456,6.0,66936.0
2023-01,2023,1,January,11322,164,146,11742,11348,394,6.0,68088.0
2023-02,2023,2,February,10637,174,161,10859,10476,383,6.0,62856.0
2023-03,2023,3,March,11078,193,142,11118,10714,404,6.0,64284.0
2023-04,2023,4,April,10914,178,120,11193,10780,413,6.0,64680.0
2023-05,2023,5,May,10264,152,155,10268,9912,356,6.0,59472.0
2023-06,2023,6,June,10219,190,170,10275,9918,357,6.0,59508.0
2023-07,2023,7,July,10487,176,157,10651,10270,381,6.0,61620.0
2023-08,2023,8,August,10279,171,160,10515,10189,326,6.0,61134.0
2023-09,2023,9,September,10755,192,125,10969,10527,442,6.0,63162.0
2023-10,2023,10,October,11666,157,138,12082,11641,441,6.0,69846.0
2023-11,2023,11,November,11778,138,148,11966,11563,403,6.0,69378.0
2023-12,2023,12,December,11453,205,124,11730,11380,350,6.0,68280.0
2024-01,2024,1,January,10445,194,163,10496,10165,331,6.0,60990.0
2024-02,2024,2,February,10355,180,136,10691,10325,366,6.0,61950.0
2024-03,2024,3,March,10755,184,151,11037,10651,386,6.0,63906.0
2024-04,2024,4,April,10666,142,170,11051,10662,389,6.0,63972.0
2024-05,2024,5,May,10427,137,132,10686,10274,412,6.0,61644.0
2024-06,2024,6,June,10543,169,152,10907,10517,390,6.0,63102.0
2024-07,2024,7,July,10035,139,148,10312,9949,363,6.0,59694.0
2024-08,2024,8,August,10478,206,148,10786,10364,422,6.0,62184.0
2024-09,2024,9,September,10432,230,181,10719,10324,395,6.0,61944.0
2024-10,2024,10,October,11275,181,121,11398,11032,366,6.0,66192.0
2024-11,2024,11,November,11266,154,126,11450,11058,392,6.0,66348.0
2024-12,2024,12,December,10901,160,141,11050,10675,375,6.0,64050.0
2025-01,2025,1,January,10879,151,113,10803,10497,306,6.5,68230.5
2025-02,2025,2,February,10118,214,138,10150,9761,389,6.5,63446.5
2025-03,2025,3,March,10515,156,123,10790,10366,424,6.5,67379.0
2025-04,2025,4,April,10185,151,140,10411,10095,316,6.5,65617.5
2025-05,2025,5,May,10288,172,134,10353,9989,364,6.5,64928.5
2025-06,2025,6,June,9758,199,179,9979,9674,305,6.5,62881.0
2025-07,2025,7,July,9891,150,168,10071,9715,356,6.5,63147.5
2025-08,2025,8,August,10313,117,158,10883,10565,318,6.5,68672.5
2025-09,2025,9,September,10180,209,133,10487,10128,359,6.5,65832.0
2025-10,2025,10,October,11087,183,129,11386,10949,437,6.5,71168.5
2025-11,2025,11,November,11461,184,115,12075,11644,431,6.5,75686.0
2025-12,2025,12,December,10769,176,152,11128,10754,374,6.5,69901.0
